Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1885770,Yes,Yes,1885770,638D,"Bourke Street between Elizabeth Street and Queen Street, approximately 5m North of Hawaii Massage, 387 Bourke Street, MELBOURNE VIC 3000",-37.8145809,144.9623793,"-37.8145809, 144.9623793"
MPM1885777,Yes,Yes,1885777,629A,"Little Collins Street between Swanston Street and Elizabeth Street, approximately 1m North of T2, 269 Little Collins Street, MELBOURNE VIC 3000",-37.8147221,144.9655073,"-37.8147221, 144.9655073"
MPM1891100,Yes,Yes,1891100,721A,"Southbank Boulevard between Riverside Quay and City Road, approximately 28m SE of Wilson Parking Australia 1992 Pty Ltd, Carpark C-R, 4 Southbank Boulevard, SOUTHBANK VIC 3006",-37.8219793,144.963146,"-37.8219793, 144.963146"
MPM1891102,Yes,Yes,1891102,531A,"Anthony Street between Franklin Street and A'Beckett Street, approximately 3m South of Swinnerton House, 14-16 Anthony Street, MELBOURNE VIC 3000",-37.8093253,144.9591636,"-37.8093253, 144.9591636"
MPM1891103,Yes,Yes,1891103,552B,"Market Street between Flinders Street and Flinders Lane, approximately 21m South of Simpsons Burgers, Part Ground 40 Market Street, MELBOURNE VIC 3000",-37.8185103,144.9608736,"-37.8185103, 144.9608736"
MPM1891106,Yes,Yes,1891106,760D,"Sturt Street between Miles Street and Coventry Street, approximately 10m SW of 215-217 Sturt Street, SOUTHBANK VIC 3006",-37.8295082,144.9656494,"-37.8295082, 144.9656494"
MPM1891109,Yes,Yes,1891109,678D,"A'Beckett Street between Elizabeth Street and Queen Street, approximately 8m NE of Yakiniku Like, Shop G1, Ground 119 A'Beckett Street, MELBOURNE VIC 3000",-37.8095291,144.9601632,"-37.8095291, 144.9601632"
MPM1891119,Yes,Yes,1891119,629B,"Little Collins Street between Swanston Street and Elizabeth Street, approximately 12m South of 302 Little Collins Street, MELBOURNE VIC 3000",-37.8149955,144.9645636,"-37.8149955, 144.9645636"
MPM1891121,Yes,Yes,1891121,729B,"Clarke Street between Hancock Street and Catherine Street, approximately 4m West of Part Ground 51-65 Clarke Street, SOUTHBANK VIC 3006",-37.8273576,144.9594584,"-37.8273576, 144.9594584"
MPM1891122,Yes,Yes,1891122,729C,"Clarke Street between Hancock Street and West Gate Freeway, approximately 21m NW of Crown Melbourne Limited, 71-75 Clarke Street, SOUTHBANK VIC 3006",-37.8279818,144.9597498,"-37.8279818, 144.9597498"
MPM1891123,Yes,Yes,1891123,729D,"Clarke Street between Hancock Street and West Gate Freeway, approximately 25m NW of Crown Melbourne Limited, 71-75 Clarke Street, SOUTHBANK VIC 3006",-37.8280356,144.9596077,"-37.8280356, 144.9596077"
MPM1891126,Yes,Yes,1891126,677C,"A'Beckett Street between Swanston Street and Elizabeth Street, approximately 4m West of Surasang, 55-59 A'Beckett Street, MELBOURNE VIC 3000",-37.8090359,144.9618643,"-37.8090359, 144.9618643"
MPM1891128,Yes,Yes,1891128,677D,"A'Beckett Street between Swanston Street and Elizabeth Street, approximately 13m East of 48-50 A'Beckett Street, MELBOURNE VIC 3000",-37.8088518,144.9619658,"-37.8088518, 144.9619658"
MPM1891609,Yes,Yes,1891609,141A,"Intersection of Ievers Street and The Avenue, approximately 53m SW of Marilyn Rowe House, 260-270 The Avenue, PARKVILLE VIC 3052",-37.7814908,144.9573903,"-37.7814908, 144.9573903"
